,Day,Trial,RWeight,RCompliance,RWidth,Object,NInitialWidthDifference,NEndingWidthDifference,NSWidth,NWidthDifference,NForce
214,3,52,3,1,2,f,0.330090306,0,0.728620296,0.25347409,0.959944003
215,3,53,3,1,2,d,0.807788255,0.192831198,0.133855535,0.790949435,0.944755539
216,3,54,3,2,3,l,0.067679489,0.035524688,0.03606663,0.037654653,0.904217847
217,3,55,3,2,1,q,0.302774036,0.506326588,0.903400922,0.513246369,0.574226276
218,3,56,2,3,2,y,0.172254652,0.534626592,0.183010262,0.411870181,0.507451228
219,3,57,1,2,1,4,0.079329442,0.419710214,0.870011403,0.263851533,0.002935332
220,3,58,3,2,3,l,0.062266128,0.063585199,0.11114967,0.048547606,0.944875963
221,3,59,1,1,3,3,0.247467944,0.983075879,0.210351495,0.731262327,0.051134995
222,3,60,2,3,2,i,0.064660979,0.036682234,0.503990878,0.035592613,0.522654745
223,3,61,1,3,3,9,0.061343112,0.054604239,0.083040008,0.042675273,0.141347543
224,3,62,3,2,2,h,0.223344809,0.22987267,0.131203213,0.286646046,0.964234104
225,3,63,3,2,1,g,0.473057925,0.17199537,0.51368301,0.478505469,0.966687741
226,3,64,1,3,2,8,0.046250561,0.078792959,0.47275792,0.042675273,0.055364884
227,3,65,2,2,2,t,0.347178566,0.304793837,0.556268901,0.43997669,0.507451228
228,3,66,1,2,3,6,0.086788405,0.534626592,0.196569332,0.335081585,0.157604769
229,3,67,2,1,1,r,0.14845582,0.57290544,0.777527143,0.411982249,0.492247712
230,3,68,2,3,3,o,0.033577808,0.075679559,0.050840315,0.029540972,0.487746869
231,3,69,1,2,3,6,0.108117547,0.511675248,0.070670765,0.341357361,0.097257346
232,3,70,3,3,2,k,0.027241431,0.03316968,0.453398443,0,0.947570448
233,3,71,2,1,1,e,0.615701242,0.57290544,0.218110158,0.831786803,0.461825626
234,3,72,3,2,3,l,0.033577808,0.064742745,0.128526102,0.023422091,0.956888247
235,3,73,1,2,1,4,0.051115103,0.411168323,0.831986515,0.233705397,0.065164379
236,3,74,3,1,2,f,0.196702091,0.151598611,0.824748401,0.21873319,0.933345376
237,3,75,3,2,2,w,0.778875418,0.534626592,0.579272222,0.95689887,0.522654745
238,3,76,3,1,2,s,1,0.203408773,0.565242179,0.969584902,0.948548892
239,3,77,1,2,3,5,0.090330789,0.731848481,0.474939269,0.449009324,0.125918232
240,3,78,1,2,1,4,0.342039615,0.113279847,0.823038025,0.327819616,0
241,3,79,3,1,3,f,0.217232949,0.003791961,0.824748401,0.154227183,1
242,3,80,2,3,1,r,0.184603103,0.400750409,0.824748401,0.34779003,0.50710501
243,3,81,2,2,1,r,0.191837549,0.38139145,0.829582073,0.343419401,0.522654745
244,4,1,2,2,2,t,0.3011133,0.307963106,0.474213307,0.410170462,0.511924864
245,4,2,1,1,2,5,0.047760344,0.563402098,0.491794081,0.340309856,0.144675328
246,4,3,1,2,1,4,0.013910319,0.325846652,0.842006827,0.173241221,0.039982137
247,4,4,3,1,1,f,0.1402426,0.164929944,0.808902604,0.188611372,0.923915319
248,4,5,3,3,3,k,0.037386949,0.033514046,0.441319493,0.023750153,0.834210196
249,4,6,3,3,2,l,0.01158402,0.045659368,0.175573947,0.008584393,0.859176354
250,4,7,3,2,1,q,0.163648017,0.567872985,0.838803946,0.442709398,0.615027143
251,4,8,3,2,3,h,0.283499893,0.120256284,0.184715014,0.286023791,0.850328649
252,4,9,3,1,2,d,0.667861467,0.204815884,0.163487165,0.666067122,0.853957045
253,4,10,2,2,2,1,0.033612647,0.630782229,0.821012765,0.367268937,0.109926455
254,4,11,3,1,2,w,0.859947302,0.35826938,0.554565858,0.920553489,0.64352401
255,4,12,2,3,3,y,0.095971705,0.272548053,0.169191565,0.212974696,0.595043052
256,4,13,1,3,3,8,0.016450258,0.048405266,0.484710338,0.014368638,0.08244833
257,4,14,1,1,3,6,0.020153346,0.615644582,0.187917894,0.346911663,0.06191998
258,4,15,3,3,1,u,0.051748285,0.009117792,0.919624071,0.021951519,0.576775472
259,4,16,2,1,2,2,0.460322359,0.867035133,0.603427316,0.87184728,0.100046053
260,4,17,2,1,3,y,0.29185558,0.291804548,0.050684996,0.392817725,0.547120309
261,4,18,2,3,2,i,0.041018824,0.040836443,0.459812035,0.031128643,0.55166976
262,4,19,1,3,2,8,0.019939706,0.063190875,0.474657502,0.025957569,0.05269548
263,4,20,1,2,3,6,0.042656728,0.580933606,0.050007014,0.346094101,0.072232999
264,4,21,2,1,1,q,0.224084316,0.401922129,0.848412587,0.39839758,0.595852464
265,4,22,2,1,3,y,0.154152919,0.247095684,0.043157058,0.248293341,0.605383982
266,4,23,3,3,1,k,0.024568566,0.041857354,0.455720765,0.017557127,0.904154514
267,4,24,1,2,3,3,0.176157809,0.921988312,0.206176649,0.659076973,0.119123045
268,4,25,1,1,2,4,0.032449498,0.423818911,0.744985271,0.246106365,0.093570761
269,4,26,1,3,3,8,0.025731716,0.096528902,0.460279609,0.050300454,0.051788381
270,4,27,3,3,2,h,0.314358962,0.096845737,0.033104222,0.299002575,0.853287188
271,4,28,3,3,1,a,0.361620813,0.177673731,0.893369804,0.386624699,0.893255369
272,4,29,2,1,2,u,0.020153346,0.100295712,0.985832515,0.047704697,0.573928576
273,4,30,2,2,3,h,0.158330762,0.185911427,0.192476738,0.216367576,0.859636881
274,4,31,3,1,2,s,0.847271346,0.260156305,0.767569084,0.852695908,0.875992576
275,4,32,3,3,2,d,0.551261661,0.162536084,0.391546266,0.54110289,0.873941136
276,4,33,2,2,2,q,0.199135946,0.365697388,0.922382756,0.355884397,0.542584814
277,4,34,1,2,3,3,0.179647257,0.954270225,0.368962454,0.680824102,0.048146029
278,4,35,1,3,3,9,0.042894106,0.032739562,0.193832702,0.028021911,0
279,4,36,3,3,2,k,0.030835331,0.057980708,0.463248702,0.032334546,0.878197524
280,4,37,2,1,2,r,0.037315736,0.312081955,0.863234675,0.185422884,0.585511534
281,4,38,1,2,3,5,0.058798395,0.586566218,0.551362978,0.363262887,0.062254909
282,4,39,2,2,2,t,0.308994232,0.261881293,0.53492776,0.390221968,0.627070628
283,4,40,1,3,1,7,0.049825528,0.145673449,0.979917707,0.099599395,0.108112257
284,4,41,2,2,2,t,0.271274954,0.341477153,0.59907888,0.403936557,0.631522391
285,4,42,1,3,3,9,0.020604363,0.034640569,0.282695095,0.009953808,0.042242907
286,4,43,2,3,3,o,0,0.048053228,0.280380605,0,0.584088086
287,4,44,1,2,1,1,0.046858309,0.612124199,1,0.367861669,0.043275605
288,4,45,1,3,2,7,0.055641275,0.106491586,0.760742507,0.081837878,0.052765257
289,4,46,1,3,1,7,0.070691006,0.080018306,0.779679244,0.079446511,0.068590647
290,4,47,2,1,2,w,0.809908135,0.438217278,0.505493992,0.92390549,0.536639826
291,4,48,3,3,2,f,0.121703421,0.107195663,0.828984897,0.13912848,0.905508185
292,4,49,3,3,1,j,0.046597194,0.072449483,0.870785991,0.054286065,0.897176829
293,4,50,2,3,2,e,0.430673915,0.318313032,0.287908543,0.527735764,0.565108782
294,4,51,2,3,1,r,0.219051914,0.3216926,0.765301351,0.347504394,0.55561913
295,4,52,2,2,1,r,0.137227906,0.290431599,0.807990836,0.258880759,0.601183415
296,4,53,3,2,3,g,0.287677736,0.189361403,0.469420676,0.329742877,0.906666481
297,4,54,1,3,3,6,0.039665773,0.529712033,0,0.313779994,0.099711124
298,4,55,3,3,1,u,0.069741496,0.049144547,0.927619582,0.060683481,0.521540115
299,4,56,3,1,1,f,0.147672514,0.095155953,0.849324356,0.154478192,0.868945114
